Departamento,Dg12,Dg15,Dg25,Dg26,Dg27,Dg29,Dg31,Dg32,Dg33,Dg34,Dg35,Dg36,Dg37,Dg38,Dg39,Dg40,Dg41,Dg42,Dg43,Dg44
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.83,2.7,7,2.9,2.5,2,17,20,20,10,10.5,10,15,30
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.41,3,8,3.1,2.5,1.3,17,19,21,9,12.5,8,15.5,30
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.71,2.8,7.7,3.1,3,2,14,20,20,9,12,5,16,30
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.72,2.7,7.4,2.8,2.5,1.5,17,20,20,9.5,12,6,16,30
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.49,3.1,7.3,3.2,2,1.5,16,20,21,9.5,12.5,6,16,30
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.41,3,7.3,3.2,2,1,14,21,17,9,10,7,16,30
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Blanco,1.75,2.8,7.2,3.3,2,1.5,16,20,20,10,12.5,7,16,30
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.9,3,7,3.8,2.2,2.2,14,20,21,10,13,7,16,30
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.9,3.1,7.6,3.5,1.5,1.4,14,23,22,10,13,7,16,30
Nueva Segovia,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.26,3,7,3.2,2,11,14,20,20,9,14,7,16,30
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.4,2.9,7,2.5,2,1.5,13,19,18,8.5,11,7.5,16,30
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,1.81,3,7.2,2.9,3,2,17,19,19,10,12,7.5,16,30
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.9,2.7,7.5,3,2,2,16,19,20,10,12,7.5,16,30
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.5,3,8,4,1.5,1.5,13,19,22,11,14,8,16,30
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.4,3.2,7,3.9,1.1,1.1,12,20,21,10,15,8,16,30
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.48,3,7,3.8,1.7,1.7,14,18,20,12,15,8,16,30
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.7,3,7.5,3.6,2,2,13,20,22,11,16,8,16,30
Nueva Segovia,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.98,3,8,10,1.9,1.9,14,21,20,12,16,8,16,30
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.85,3.2,8,4,2.2,1.5,15,20,16,12,14,9,16,30
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.5,3,7.9,4,1.7,1.7,13,20,21,11,15,9,16,30
Nueva Segovia,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.38,3,8,3.9,2,1.1,10,21,18,11,16,10,16,30
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.06,2.8,7.7,3.2,3,2,16.5,21,20.5,9,11,5.5,16.5,30
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.37,3,7.2,3.1,2,1.2,13,23,20,9.5,11,6.5,17,30
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.86,3,7.5,3.3,3,2,17,20,21,10,11,6.5,17,30
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.94,2.8,8.4,3,2.5,2,16,21,20.5,10,12,7,17,30
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.91,2.9,8.2,3.2,3,2.5,20,21,21,11,14,7,17,30
Nueva Segovia,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.4,3.1,7.1,3.2,2,2,14,20,22,12,14,7,17,30
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,2,3.7,7.2,4,2,2,18,23,22,13,17,9,17,30
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.47,2.7,8,4.1,2,2,14,21,21,12,15,10,17,30
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.6,3,8,3.4,1.9,1.9,13,24,21,11,16,17,17,30
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.57,3,8,4,1,1,16,21,22,12,15,9,18,30
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.97,3.2,7.6,4.2,2.2,2.4,12,25,16,12.5,14,8,20,30
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.6,2.6,6.2,2.5,2,1.5,16,21,21,9.5,12,6,15,30.5
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.75,2.9,7.5,3.2,2.5,2,17,21,21,9.5,12,7,16,30.5
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.7,3,7.9,3.3,2.3,2.3,14,19,20,10,14,7,12,31
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.12,2.9,7,4,2,2,14,18,19,10,12,7,14,31
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.7,3,8,3.3,2.5,2.1,15,26,21,8,13,7,14,31
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.61,2.9,8.2,3.4,2,2,15,23,20,9,14,8,14,31
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.53,3.1,7,3.2,1.9,1.9,12,18,19,11,14,8,14,31
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.3,3,7,3.6,2,2,12,18,19,11,14,8,14,31
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.66,3.1,8,3.7,2,2,14,22,22,13,14,8,14,31
Nueva Segovia,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.7,3,7.9,3.5,2,1,14,22,18,12,14,9,14,31
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.48,2.8,7.1,3.1,2,1.5,16,18,18,9,12,6,15,31
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Blanco,1.71,2.8,6.9,3,2,2,13,19,18,9,12,6,15,31
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.43,3,8,3.9,2,1.5,12,24,20.5,8,14,6,15,31
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.38,2.7,6.1,3.2,2.5,2,15.5,19,19,9,10,6.5,15,31
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.59,3,7.2,3.1,2.5,2,14.5,18.5,20,8.5,12,6.5,15,31
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,1.86,3,7.6,3.2,3,1.5,17,20,20,9.5,12,6.5,15,31
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.1,2.7,6.6,3.3,3.5,2,17,20,21,9.5,13.5,6.5,15,31
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.76,2.8,6.1,3.4,1.5,1.5,16,19,19,10,12,7,15,31
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.71,2.9,7.8,3.4,2.2,1.1,14.1,21,22,13,16,7,15,31
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.77,3,8,3.2,3,1.5,11,23,20,8,13,7.5,15,31
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.7,3,7.3,3.1,2.5,1.8,12,22,23,11,14,8,15,31
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,2,3.2,7.6,3.4,1.7,1.7,12,23,23,12,14,8,15,31
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.76,3,8,4,1.6,1,15,21,21,12,13,9,15,31
Estelí,Macho,Pequeña,Amarillo,Rojo,Rojo,Otro,1.6,3,7,3.5,1.7,1.7,9,16,20,9,14,9,15,31
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.5,3,7,3.8,2.1,1.7,13,16,20,10,16,9,15,31
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.7,3.1,7.2,3.1,2.1,2.1,12,18,20,9,10,13,15,31
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.61,3.1,8,3.2,2.5,1.5,15,16,21,9.5,12,6,15.5,31
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,1.81,3,7.4,3.1,2.5,2,16,18,18,10,12.5,7.5,15.5,31
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2,2.8,8.1,3.3,2,1,16,21,21,9,11,5.5,16,31
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.2,2.7,7.3,3.1,2,2,15,19,18,9,12,6,16,31
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.72,3,7.2,3.1,3,1,16,20,20,9,12,6,16,31
Estelí,Hembra,Grande,Amarillo,Negro,Rojo,Blanco,1.85,2.5,7.1,3.2,2,1.5,16,21,20,9,12,6,16,31
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.98,2.6,6.7,3,2,2,15,21,21,9,12,6,16,31
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.42,3.1,8.2,3.2,2,1.5,14,23,23,9,14,6,16,31
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.32,3,6.7,3.1,2.2,2,16.5,21,21,10,12,6.5,16,31
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.53,3.8,8.2,3.2,2,1,15,19,19,9.5,12,7,16,31
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Blanco,1.63,3.1,7.2,3.1,2,1.8,13,17,19,9,13,7,16,31
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.5,3.2,7,3.9,2.4,2.4,14,17,22,11,16,7,16,31
Madriz,Macho,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.62,3.1,8.2,4,3,2,15,25,25,9,14,7.5,16,31
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.6,2.9,8,4,2.1,1.1,15,20,21,10,14,8,16,31
Madriz,Macho,Grande,Amarillo,Rojo,Rojo,Otro,1.9,3.1,8,4,2.5,2.1,14,24,23,10,15,9,16,31
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,1.83,2.9,7.6,2.5,2,2,16,19,20,9.5,11.5,6,17,31
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.76,2.9,7.8,3.2,2,1.5,17,23,18,9.5,12.5,7,17,31
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.8,2.9,7,3.8,1.9,1.9,17,22,22,11,13,7,17,31
Nueva Segovia,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,1.49,3,8,3.4,2,2,16,22,21,13,15,7,17,31
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.6,3,7.6,4,1.3,1.3,17,19,22,11,16,7,17,31
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.6,3,7,3,2,1,16,22,21,13,15,8,17,31
Estelí,Macho,Mediana,Amarillo,Rojo,Rojo,Otro,2.2,3.2,8.5,4,2.3,2.3,15,22,27,12,19,8.5,17,31
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.13,3,8,4,2,2,13,19,20,12,17,10,17,31
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.51,3,9.2,3.2,3,1.5,17,23,22,8,11,7,18,31
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,2.16,2.1,7.9,4.1,2.3,2.3,14,24,24,12,17,7,18,31
Estelí,Macho,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.9,3.2,8.8,4,3.9,1.6,16,25,23,11,16,8,18,31
Nueva Segovia,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,2.37,3.2,8.2,4,2.2,2.2,16,26,26,14,18,10,19,31
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Otro,2.32,3.2,9.3,3.9,4,2.5,20,21,23.5,11,14.5,7,20,31
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.74,3,8.2,3.1,2,1.1,12,26,21,8,12,7.5,16,31.5
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,1.85,2.9,7.6,3.1,2.3,2,17,24,23,11.5,13.5,6.5,18,31.5
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Blanco,1.6,2.9,7.5,3.2,2.3,2,17,18,20.5,9,11,6.5,13,32
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.6,3,6.6,3.5,2,2,11,18,20,10,12,7,13,32
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,2,3.1,7,3,2.1,1.7,11,23,21,11,15,8,13,32
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Verde,1.95,3,7.8,3,2.4,1.2,16,19,19,10,12.5,7.5,14,32
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.81,3,8,3.3,2,2,15,22,19,8,10,6,15,32
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Verde,2.01,3.1,8.1,3,3,1.5,13,19,20,9,13,6.5,15,32
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.78,3,7.7,3.2,1.9,1.9,14,21,20,11,15,7,15,32
Estelí,Hembra,Mediana,Amarillo,Rojo,Negro,Otro,1.76,3,7.4,4,1.4,1.4,13,24,23,9,14,8,15,32
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,2.17,3,7,3.5,2.4,2,19,22,22,12,15,8,15,32
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.8,3,8,3.9,1.6,1.6,16,20,23,12,16,9,15,32
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.48,3,7.1,3.1,2.1,1.1,15,16,20,9,11,6.5,15.5,32
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.79,3,7.8,3.2,2,2,16,19,19,10,12,5.5,16,32
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.82,3,8,3.2,2,1,16,20,19,10,12,6,16,32
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.14,3.2,7.5,3.2,2.5,1.8,16,20,20,9,11.5,6.5,16,32
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.79,2.9,7.6,2.9,3,2,16,21,21,9.5,12,6.5,16,32
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.1,3,8,3.5,2.3,1.4,17,19,20,10,13,6.5,16,32
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Verde,2,2.9,7.5,3.3,2.5,1.5,15,18,20,9.5,11.5,7,16,32
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Blanco,2.1,2.8,7.3,3.3,3,1,17,19,19,11.5,13,7,16,32
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Blanco,1.86,2.8,7.6,3.1,3,2,13,19,22,9,14,7,16,32
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.53,3.1,7.9,3.8,2.5,1.7,17,22,22,14,16,7,16,32
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.51,3,7,4,2,1,16,19,19,12,15,8,16,32
Nueva Segovia,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.68,3,8,4.1,2,2,15,21,23,12,17,8,16,32
Nueva Segovia,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.26,3.3,7.7,4.1,2,1,13,25,21,13,15,9,16,32
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,2.2,3.2,8,4,2.2,2.2,16,24,21,10,16,10,16,32
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.57,3,7.9,3.1,2,1.2,14,22,21,9,13,6,17,32
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.8,2.9,7.2,2.7,2.5,2,15,18,18,9,11,6.5,17,32
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.79,2.9,8,3.1,2.5,1.5,16,21,21,10,12,6.5,17,32
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.24,3.1,7.9,3.2,2,1.4,13,20,20,9,13,6.5,17,32
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Blanco,2.34,3.1,7.3,3.2,2,1.5,18,24,24,11,13.5,7,17,32
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.9,3,8,3.1,2,2,12,23,22,11,14,7,17,32
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.8,3,8,3.3,3,2.5,16,22,21,10,14.5,7,17,32
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,2.2,3.2,8.2,3.3,3,2,17,21,21,10,15,7,17,32
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.85,3.1,8,3.2,2,2,16,25,22,12,17,7,17,32
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Blanco,2.5,3.2,8.5,3.9,3,2,18,25,24,11,14,7.5,17,32
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,2,3,7.6,3.8,2,1.4,14,21,21,12,13,8,17,32
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,2.25,3.1,8.1,3.7,2.5,1.1,16,25,24,12,17,8,17,32
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,2.41,3,8,3.4,2.5,2.5,14,22,22,10,13,9,17,32
Nueva Segovia,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.72,2.9,8.2,4,1.9,1.9,16,20,20,11,15,9,17,32
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.9,3,1,3,2.2,2.2,15,22,23,11,16,10,17,32
Madriz,Hembra,Mediana,Rojo,Rojo,Rojo,Amarillo,1.73,3,7.3,3.1,3,1.4,15,23,18,9,12,6,18,32
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.17,3.1,8.5,3.5,3.5,2.5,16,25,24,11,13,8,18,32
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.7,3,7.5,3.9,2,2,15,22,22,11,14,8,18,32
Nueva Segovia,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.7,3,8,4,2.2,1.8,16,22,21,12,15,9,18,32
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.18,3,7.5,3.2,3,1.5,15.5,21,21,11,13,6.5,19,32
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,2.04,2.9,8,3.4,2,2,17,21,21,10.5,14,6.5,19,32
Estelí,Macho,Mediana,Amarillo,Rojo,Rojo,Otro,2.49,4,8.2,3.9,3.1,1.9,16,26,26,12,16,10,19,32
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,2.96,3.4,10.3,3.5,3,2,21,27,26,12,17,9,20,32
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.13,2.9,8,3.2,2,1.5,16,21,21,9,12,5,15,32.5
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.5,3,7.3,3.1,2.3,1.2,15,18,20,9.5,11,6.5,16,32.5
Madriz,Macho,Grande,Amarillo,Rojo,Negro,Amarillo,2.34,3.5,9.2,3.2,3,1.5,17,24,26,11,16,8,19,32.5
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.9,3,7.3,3.1,2,1.5,15,21,20,8.5,11,6,14,33
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,1.95,2.8,7.2,3.1,2,2,15,19,21,9.5,12,6.5,14,33
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Verde,1.72,2.8,7.1,3.1,3,2,15.5,18.5,20.5,9,10.5,6,15,33
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.83,3,7.4,4,2.5,2,15,20,21.5,8,12,6.5,15,33
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,2.22,2.7,7.2,3.1,2.5,2,17,21,21,10.5,12,6.5,15,33
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,2.15,2.9,7.2,3,2.7,2,14,22,21,11.5,13,6,16,33
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,1.96,3,8.3,3.5,2.5,2.1,14,25,22,11,14,6,16,33
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.33,3,8.3,3.4,3,2,15,20,21,9.5,13,7,16,33
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,2.27,3,8.8,3.3,3,2,15,18,21,12,14,7,16,33
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.71,3,8,3.5,2.5,1.5,14,25,22,8,12.5,8,16,33
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Verde,2.19,2.4,7,3.2,1.4,1.4,12,22,22,9,13,9,16,33
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Blanco,2.16,3,8.6,3.2,2.5,1,17,22,21,9,12,5.5,17,33
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,2.11,2.4,8.7,3.7,2,2,17,19,20,9.5,12,6.5,17,33
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.58,3,7.4,3.1,2.5,2,15,18,22,9.5,11,7,17,33
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2,2.1,8,3.3,1.4,1.4,15,22,22,11,14,8,17,33
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,2.23,3.4,8,3.9,3.5,2,19,22,23,11,16,8,18,33
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,2.36,3.4,8.8,3.8,2.8,2.1,19,24,24,10.5,17,8,18,33
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,2.3,3.1,8.9,3.4,3,2,18,22,22,11,14,8.5,18,33
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,2.18,3.4,9,3.9,2.8,2,17,23,23,10,14,8,18.5,33
Estelí,Macho,Grande,Negro,Negro,Negro,Otro,2.11,3,8.4,3.3,2.7,2.3,18,22,22,11,16,8,18.5,33
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.54,3.3,10,4.2,4,2.5,15,28,25,11,15,8.5,19,33
Madriz,Macho,Grande,Amarillo,Rojo,Rojo,Otro,2.32,3.2,9.1,4,2.4,1.4,19,28,26,9.5,17,9,19,33
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,2.42,3,8,3.6,1.6,1.6,16,20,22,11,14,8,15,34
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.81,3.1,8,3.1,2.1,1.5,15,18.5,21,10,12.5,6.5,16,34
Estelí,Hembra,Grande,Amarillo,Rojo,Negro,Amarillo,2.3,2.6,8.4,3.3,2,2,16,20,20,9.5,12,7,16,34
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.73,2.7,7.6,3.1,2,2,16,19,20.5,10,12,6.5,16.5,34
Madriz,Macho,Mediana,Amarillo,Rojo,Rojo,Otro,1.8,3,7.9,4.1,3,1.9,13,21,23,10,17,9,17,34
Estelí,Hembra,Grande,Amarillo,Negro,Rojo,Blanco,3.23,3.2,7.8,3.3,3,1.5,19,20,22,10.5,13.5,6,17.5,34
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,2.13,3.1,7.6,3.1,3,2,17,20,20,10,12.5,7,17.5,34
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,3.2,3.1,7.6,3.3,2.5,2,16,18,21,12,14,6.5,18,34
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.59,3.2,8.1,3.7,3,2,17,23,23,10,12.5,7,18,34
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.09,2.8,5.5,3.2,3,2,15,21,21,11,12,6.5,19,34
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,3.07,3.2,8.3,3.4,2,1,17,21,21,10,13,7,19,34
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Blanco,3.25,3.2,8.5,3.9,3,2,17,23,23,11,13.5,7.5,19,34
Nueva Segovia,Hembra,Mediana,Amarillo,Negro,Negro,Otro,1.47,3.1,8,3.5,1.1,1,12.1,23,20,11,16,8,19,34
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Otro,2.4,3.6,8,4.2,2.8,1.6,18,30,28,12,17,11,19,34
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,2.4,3.2,8.3,3.7,3,2.2,20,22.5,22.5,11,13.5,8,19.5,34
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.82,3.2,8,3.5,2.2,2,14,17,19,9.5,12,5.5,15,35
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.84,3,7.4,2.9,2.3,1.5,15,18,19.5,9,13,6,15,35
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.78,2.8,7.4,3.4,2,1.5,14,22,21,8.5,12,7,15,35
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,2.2,3.3,8.2,4,1.4,1.4,14,22,21,13,15,8,16,35
Nueva Segovia,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.87,3.1,7.4,3.9,1.7,1.7,12,21,21,10,15,9,16,35
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,2.05,3,8.4,3.7,2,2,17.5,22,21,10.5,13.5,7,16.5,35
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.5,2.8,8.1,3.5,3,1,18,20,20,10,13,7,17,35
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,2.1,3.1,7,3.6,2,2,14,22,22,11,15,9,17,35
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.25,3.1,8.7,3.4,2.4,2,16,23,23,9,13,6.5,18,35
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,2.28,3,7.6,3.4,2,2,16,24,24,10,15,8,18,35
Madriz,Macho,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1,2.2,7,3,1.4,1.4,15,16,19,10,11,6,19,35
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Otro,2.74,3.2,9,4,3.8,2,18,26.5,26.5,12,15,7,19,35
